Contas a Pagar;;;;;;;;;
Catagoria;Descrição;Vencimento;Pagamento;Valor;Valor Pago;Status;Parcela;Fornecedor;Unidade
02.08-Vale Transporte;Saída do caixa 1805. EMILY, JULIA, FEH, LE E DRII;21/05/2022;21/05/2022;R$ 50,00;R$ 50,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
01.06-Freelance-Temporario;Saída do caixa 1805. ADRIANE, JULIA E EMILY;21/05/2022;21/05/2022;R$ 144,00;R$ 144,00;Pago;1/1;01.06.01-Colaboradora Freelance;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1805. ANTONIO 20;21/05/2022;21/05/2022;R$ 136,00;R$ 136,00;Pago;1/1;01.11.01-MOTOBOY INTERNO;Inverno D´Italia Bragança Paulista
01.16-Doces;Saída do caixa 1805. CONE;21/05/2022;21/05/2022;R$ 36,00;R$ 36,00;Pago;1/1;01.16.01-Palha italiana;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1805. 2R;21/05/2022;21/05/2022;R$ 8,00;R$ 8,00;Pago;1/1;01.11.03-2R;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1805. MOLINARI;21/05/2022;21/05/2022;R$ 7,00;R$ 7,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1805. LUCAS;21/05/2022;21/05/2022;R$ 24,00;R$ 24,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.20-Salgados;Saída do caixa 1805. PÃO;21/05/2022;21/05/2022;R$ 10,00;R$ 10,00;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.07-Manutenção Geral;Saída do caixa 1805. ZONA AZUL;21/05/2022;21/05/2022;R$ 10,00;R$ 10,00;Pago;1/1;01.07-01-MATERIAIS EM GERAL;Inverno D´Italia Bragança Paulista
01.06-Freelance-Temporario;Saída do caixa 1805. DRI, EMILY E JULIA;21/05/2022;21/05/2022;R$ 180,00;R$ 180,00;Pago;1/1;01.06.01-Colaboradora Freelance;Inverno D´Italia Bragança Paulista
01.13-Embalagens;PONTO CERTO;21/05/2022;21/05/2022;R$ 29,70;R$ 29,70;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.13-Embalagens;PONTO CERTO;21/05/2022;21/05/2022;R$ 306,00;R$ 306,00;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.20-Salgados;ALTEROSA;21/05/2022;21/05/2022;R$ 154,90;R$ 154,90;Pago;1/1;01.20.01-Alterosa;Inverno D´Italia Bragança Paulista
01.13-Embalagens;PONTO CERTO;21/05/2022;21/05/2022;R$ 84,46;R$ 84,46;Pago;1/1;01.13.01-Ponto certo;Inverno D´Italia Bragança Paulista
01.16-Doces;REAL BOLOS;21/05/2022;21/05/2022;R$ 41,00;R$ 41,00;Pago;1/1;01.16.07-Real Bolos;Inverno D´Italia Bragança Paulista
02.14-FreeLance;Saída do caixa 1804. FREE;20/05/2022;20/05/2022;R$ 144,00;R$ 144,00;Pago;1/1;02.14.01-Freelance Balconista;Inverno D´Italia Bragança Paulista
02.08-Vale Transporte;Saída do caixa 1804. V.T;20/05/2022;20/05/2022;R$ 80,00;R$ 80,00;Pago;1/1;02.08.01-TRANSPORTE;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1804. LUCAS;20/05/2022;20/05/2022;R$ 83,00;R$ 83,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.15-Mercado;Saída do caixa 1804. AGUA;20/05/2022;20/05/2022;R$ 35,00;R$ 35,00;Pago;1/1;01.15.15-SETE AGUAS;Inverno D´Italia Bragança Paulista
01.11-Delivery;Saída do caixa 1804. EDUARDO;20/05/2022;20/05/2022;R$ 11,00;R$ 11,00;Pago;1/1;01.11.02-MOTOBOY EXTERNO;Inverno D´Italia Bragança Paulista
01.15-Mercado;Saída do caixa 1804. LU PRODUTOS NATURAIS;20/05/2022;20/05/2022;R$ 55,50;R$ 55,50;Pago;1/1;01.15.20 - Lu produtos naturais;Inverno D´Italia Bragança Paulista
01.16-Doces;Saída do caixa 1804. CONES;20/05/2022;20/05/2022;R$ 72,00;R$ 72,00;Pago;1/1;;Inverno D´Italia Bragança Paulista
03.04-Outros Equipamentos;Saída do caixa 1804. FARMACIA;20/05/2022;20/05/2022;R$ 59,50;R$ 59,50;Pago;1/1;;Inverno D´Italia Bragança Paulista
02.05-Horas Extras;Saída do caixa 1804. HORAS EXTRAS FERNANDA;20/05/2022;20/05/2022;R$ 21,00;R$ 21,00;Pago;1/1;02.05.01 - Hora Extra colaboradores;Inverno D´Italia Bragança Paulista
01.16-Doces;REAL BOLOS;20/05/2022;21/05/2022;R$ 312,00;R$ 312,00;Pago;1/1;01.16.07-Real Bolos;Inverno D´Italia Bragança Paulista
